Aarseth, Paul
Atkinson, Martin
Atlam, El-Sayed
Atserias, Jordi
Attardi, Giuseppe
Attia, Mohammed
Atwell, Eric
Atwell, Eric Steven
Audibert, Laurent
Audibert, Nicolas
Aue, Anthony
Auer, John
Auli, Michael
Austerweil, Joseph
Austin, Steve
avar, Damir
Avramidis, Eleftherios
Axelrod, Amittai
Axelrod, Scott
Ayan, Necip Fazil
Ayo, Jonathan P.
az, Alberto
Azim, Roussanaly
Aziz, Mohd Juzaiddin Ab
Azzopardi, Leif
Baayen, R. Harald
Babych, Bogdan
Bacalu, Ciprian
Bacchiani, Michiel
Bachimont, Bruno
Bachman, Lyle F.
Bach, Nguyen
Bachrach, Asaf
Bachrach, J. A.
Bachut, Daniel
Backer, Wm. J.
Backofen, Rolf
Badaskar, Sameer
Badenhorst, Jaco
Bader, Brett W.
Badler, Norman
Badran, Ahmed
Bad, Rens
Badr, Ibrahim
Bagga, Amit
Baggia, Paolo
Bahl, L. R.
Bailes, P. A. C.
Bai, Ming-Hong
Bainbridge, R. I.
Baker, Collin F.
Baker, James K.
Baker, Jeffrey
Baker, Kenneth
Baker, Kirk
Baker, Steven
Bakker, Bart
Balakrishnan, Sreeram
Balakrishnan, Suhrid
Balari, Sergio
Balasubramanian, Vijay
Balasuriya, Dominic
Bal, Bal Krishna
Balchandran, Rajesh
Baldridge, Jason
Balducci, Franco
Baldwin, Breck
Baldwin, Timothy
Baldwin, Tyler
Balfourier, Jean-Marie
Ballard, Bruce W.
Ballim, Afzal
Ball, Jerry
Ball, Julian
Ball, Richard
Balog, Krisztian
Balvet, Antonio
Bamberg, Paul
Bamman, David
Bancarz, Iain
Banches, Rafael E.
Banchs, Rafael E.
Bandyopadhyay, Sivaji
Bane, Max
Banerjee, Pratyush
Banerjee, Satanjeev
Banerjee, Somnath
Banga, Eduardo R.
Bangalore, Srinivas
Banjevic, Stefan
Bannard, Colin
Bansal, Mohit
Bański, Piotr
Bansleben, Erik
Bao, Shenghua
Ba, Ousmane
Baptista, Jorge
Baral, Chitta
Barbosa, Luciano
Barbu, Eduard
Barclay, Chris
Bares, William H.
Bar-Haim, Roy
Barker, Ken
Barlow, Michael
Barnard, Etienne
Barnard, Kobus
Barnden, John
Barnden, John A.
Barnett, James
Baron, Alex
Baron, Don
Baroni, Marco
Barra-Chicote, Roberto
Barrachina, S.
Barrachina, Sergio
Barras, Claude
Barr, Cory
Barreaud, Vincent
Barrett, Leon
Barrutieta, Guillermo
Barry, Chris
Barry, Guy
Barthelemy, Francois
Bartolini, Roberto
Barton Jr., G. Edward
Barwise, Jon
Bashyam, Vijayaraghavan
