Aarseth, Paul
Cohen, Philip R.
Cohen, Phil R.
Cohen, William W.
Cohn, Trevor
Coiera, Enrico
Colaresi, Michael
Colas, Jose
Colban, Erik
Colbath, Sean
Colbourn, M. J.
Colby, Kenneth Mark
Coleman, John
Cole, Ronald A.
Coletti, Paolo
Collier, Alex
Collier, Nigel
Collier, Renk
Collier, Robin
Collingham, Russell
Collins, Allan M.
Collins, Christopher
Collins, Michael
Collins, Michael John
Collobert, Ronan
Colman, Marcus
Colognese, Alberto
Colosimo, Marc
Comas, Pere
Comeau, Michel
Compagnion, Herve
Concejero, Pedro
Congjun, Long
Conklin, E. Jeffrey
Connolly, Dennis
Connor, Michael
Conrad, Rudi
Conroy, John M.
Consoli, Carlo
Constant, Matthieu
Content, Alain
Conway, Alan
Conway, Mike
Cook, Malcolm E.
Cook, Martin
Cook, Paul
Cooper, Chris
Cooper, Martin C.
Cooper, Richard P.
Cooper, Robin
Copeck, Terry
Coppen, Peter-Arno
Coppens, Frederik
Copperman, Max
Coppola, Bonaventura
Corbett, C. Greville
Corbett, Greville G.
Corbett, Peter T.
Corbin, Harold
Cordeiro, Joao
Cordoba, Ricardo de
Cordova, Aaron
Corduneanu, Adrian
Core, Mark G.
Corio, Marc
Cormack, G. V.
Cornell, Thomas L.
Cornish, Tim
Cornu, Etienne
Correa, Nelson
Correira, Alfred
Corriveau, Jean-Pierre
Corston-Oliver, Simon H.
Corvey, William
Costa, Fabrizio
Costa Florencio, Christophe
Costa, Francisco
Costa, Luis Fernando
Costantino, Marco
Costello, Dave
Costello, Fintan J.
Costello, J. Fintan
Coster, Rickard
Cotter, Philip
Cotton, Scott
Cottrell, Garrison W.
Councill, Isaac
Coursey, Kino
Courtin, Jacques
Cousseau, Peter
Couto, Javier
Covington, Michael A.
Cowell, Andrew
Cowie, James R.
Cox, Stephen
Coyaud, Maurice
Coyne, Bob
Crabbe, Benoit
Craggs, Richard
Craig, Matthew
Cramer, Bart
Cramer, Nick
Crammer, Koby
Crane, Gregory
Cranen, Bert
Cranias, Lambros
Craven, Mark
Craven, Patrick
Creaney, Norman
Creary, Lewis G.
Crego, Josep
Crego, Josep M.
Cremers, Crit
Crespin, Michael H.
Crestan, Eric
Creutz, Mathias
Crim, Jeremiah
Cristea, Dan
Cristianini, Nello
Cristoforetti, Luca
Critz, James T.
Croce, Danilo
Crocker, Matthew W.
Croft, W. Bruce
Croft, William
Cromieres, Fabien
Crook, Nigel
Crookston, Ian
Cross, Stephen E.
Crouch, Dick
Crouch, Keith
Crouch, Richard
Crout, J. Norwood
Crowe, Jeremy
Crowther, William
Cruz, Fernando
Crysmann, Berthold
Crystal, Michael
Crystal, Thomas H.
Csirik, J�nos
Csomai, Andras
Cucchiarelli, Alessandro
Cucerzan, Silviu
Cuda, Thomas V.
Cui, Hang
Cui, Zheng
Culik, Karel
Cullingford, R. E.
Culotta, Aron
Culy, Christopher
Cummins, Fred
Cunningham, Hamish
Curin, Jan
Curran, James R.
Curran, Stephen
Curteanu, Neculai
Curtis, Jon
Cushing, Steven
Cussens, James
Custer, Bradley B.
Cutting, Douglass
Cyphers, D. Scott
Cysouw, Michael
Czuba, Krzysztof
Daciuk, Jan
Dada, Ali
Dadd, David
Daelemans, Walter
Dagan, Ido
Dahlback, Nils
Dahl, George
Dahllof, Mats
Dahlmeier, Daniel
Dahlqvist, Bengt
Dai, Dawei
Dai, Hong-Jie
Dailey, David P.
Dai, Qifeng
Dai, Wenyuan
Dai, Xinyu
Dakka, Wisam
Daland, Robert
Dale, Robert
D'Alessio, Stephen
Dalianis, Hercules
Dalli, Angelo
Dalsem III, Vol Van
Dalvi, Nilesh
Damani, Om P.
Damas, Luis
Damerau, Fred J.
D'Amore, Ray
Damper, Robert I.
Damrongrat, Chaianun
Dandapat, Sandipan
Danescu-Niculescu-Mizil, Cristian
Daniels, Michael W.
Danlos, Laurence
Dapkus, Pete
Daranyi, Sandor
Darlu, Pierre
Darrell, Trevor
Darwish, Kareem
Das, Amar
Das, Amitava
Das, Dhrubajyoti
Das, Dipanjan
Das, Dipankar
Dasgupta, Sajib
Dasgupta, Tirthankar
Dasher, B. J.
Das, Rajib
Datha, Naren
Daudaravicius, Vidas
Daude, J.
Daugherty, Jeffrey
Daume III, Hal
Daum� III, Hal
Daum, Michael
Davidov, Dmitry
David, Raphael
Davidson, Duncan
Davidson, James
Davies, Todd
Davis, Brian
Davis, Chris
Davis, Eric
Davis, James Raymond
Davis, Mark W.
Davis, Neil
Davis, Paul C.
Davis, Randall
Davis, Stuart
Davulcu, Hasan
Davy, Ian
Davy, Ian P.
Dawar, Anuj
Daya, Ezra
Day, David S.
Daz, David
D�chelotte, Daniel
dde, Florian
Deane, Paul
Dean, Jeffrey
De Baets, Bernard
De Beaumont, William
De Beule, Joachim
De Bie, Tijl
Debili, Fathi
De Boer, Bart
De Boni, Marco
De Braekeleer, Gert
De Brito, Marcilio
De Bruin, Jos
De BruinKimberle Koile, Jos
De Buenaga Rodriguez, Manuel
Debusmann, Ralph
De Busser, Rik
Decadt, Bart
De Cao, Diego
Decary, Michel
Decerbo, Michael
Dechelotte, Daniel
Decitre, Paul
Declerck, Thierry
De Cordoba, Ricardo
DeCristofaro, Jonathan D.
Deemter, Kees van
De Freitas, Nando
de Gemmis, Marco
Degórski, Łukasz
Degorski, Ukasz
De Groote, Philippe
Deguernel, Olivier
De Haas, Erik
Dehdari, Jon
De Hilster, David
Dehmer, Matthias
Dejean, Herve
Dekens, Tomas
De Kercadio, Yannick
De Kock, Josse
De Lacalle, Oier Lopez
De La Clergerie, Eric Villemonte
Delannoy, Jean-Francois
Del Campo, Ignacio
Del�glise, Paul
Delhay, Arnaud
Delisle, Sylvain
Della Pietra, Stephen A.
Della Pietra, Vincent J.
Della Rocca, Michelangelo
Dellert, Johannes
Delmonte, Rodolfo
Delmore, John
De Loupy, Claude
de Lucena, Diego Jesus
del Valle-Agudo, David
De Marcken, Carl G.
Demasco, Patrick
Demetriou, George C.
De Meulder, Fien
Demko, Michael
De Montcheuil, Gregoire Moreau
De Mori, Renato
Dempster, Martin
Denand, Nicolas
Denda, Akihiro
Dendien, Jacques
Dendi, Vikram
Denecke, Matthias
DeNeefe, Steve
DeNero, John
Deng, Peter
Deng, Qiang
Deng, Xiaotie
Deng, Xinyu
Deng, Yonggang
Denis, Alexandre
Denis, Pascal
Denny, James
Denoual, Etienne
Denoyer, Ludovic
Densham, Ian
Den, Yasuharu
Deogun, Jitender S.
De Oliveira, Osvaldo Novais
de Pablo-Sanchez, Cesar
De Paiva Alves, Eduardo
De Palma, Paul
De Pauw, Guy
De Pijper, Jan Roelof
Derczynski, Leon
De Rijke, Maarten
De Rijke, Maarten de
Dermatas, Evangelos
Deroo, Olivier
DeRose, Steven J.
De Rossi, Gianluca
Derr, Alan
De Saeger, Stijn
Desalle, Yann
De Salvo Braz, Rodrigo
Deschacht, Koen
Deschamp, Philippe
Descles, Jean Pierre
Deselaers, Thomas
Deshpande, Pawan
Desilets, Alain
De Smedt, Koenraad
DeSouza, Peter V.
Dessus, Philippe
Des Tombe, Louis
Deterding, Robin
Detering, Klaus
Devadason, F. J.
DeVault, David
Devereux, Barry
Devillers, Laurence
Devos, Laurent
De Vreught, J. P. M.
De Vries, Arjen
Dewdney, Niegel
Deyne, Simon De
Dey, Pradip
D�hanens, Kristof
Dharmanolla, Chitti
D'Haro, Luis F.
Dhillon, Paramveer S.
Dhillon, Raj
D�hoore, Bart
Dhwaj, Arun
Diagne, Abdel Kader
Diamond, Ted
Dias-da-Silva, Bento Carlos
Dias, Gael
Diaz-Guilera, Albert
Di Carlo, Jurij
Dichy, Joseph
Dickerson, Jonathan
Dickerson, Wayne B.
Dickinson, Markus
Dickinson, Sven
Diderichsen, Philip
Diederich, Joachim
, Diego
Diekhaus, Christoph
Dien, Dinh
Dienes, Peter
Dierkes, Glenn
Diermeier, Daniel
Dietz, Robert
Diewald, Nils
Diez-Orzas, Pedro
Di Fabbrizio, Giuseppe
Digalakis, Vassilios
Dikovsky, Alexander
Dilger, Werner
Dillet, Bruno
Dilley, Stephan
Dillinger, Mike
Dill, Ken A.
Dilts, Philip
Di Manzo, Mauro
Dimitrov, Stanko
Dinarelli, Marco
Dinenberg, F. G.
Dinesh, Nikhil
Dingli, Alexiei
Ding, Shilin
Ding, Weiwei
Ding, Yung-Wei
Dinh, David
Dini, Luca
Dinu, Liviu P.
Dinur, Elad
Dionne, Daniel
Dirix, Peter
Dirksen, Arthur
Divay, Michel
Divay, Olivier
Divis, Jiri
Divi, Vijay
Dixon, Mike
Dixon, Paul
Djordjevic, Bojan
Dligach, Dmitriy
Doan-Nguyen, Hai
Doan, Son
Dobree, Nicholas J. S.
Dobrisek, Simon
Doddington, George R.
Doermann, David
Dogi, Grzegorz
Dohsaka, Kohji
Doi, Hirohumi
Doi, Kouichi
Doi, Norihisa
Doi, Shinichi
Doi, Takao
Doi, Tsunehisa
Dolan, Charles P.
Dolan, Ron
Dolan, William B.
Dolbey, Andrew
Dologlou, Yannis
Domenig, Marc
Domges, Florian
Dominey, Peter Ford
Domingo, David
Domingos, Pedro
Domingue, J. B.
Donaghy, Kevin
Donaldson, Ian
Donaway, Robert L.
Donecker, Paul G.
Dong, Anlei
Dong, Dong Zhen
Donghong, Ji
Dong, Ming Chui
Dong, Minghui
Dong, Zhendong
Donnell, Mick
Donner, Jeff
Do, Quang
Dorffner, Georg
Dorna, Michael
Dornescu, Iustin
Dorre, Jochen
D'Orta, Paolo
Doshita, Shuji
Dost, Ascander
Doucet, Antoine
Douglas, Benjamin
Dou, Qing
Dovedan, Zdravko
Dowdall, James
Dowding, John
Dowling, John
Downey, Doug
Dozier, Christopher C.
Drabek, Elliott Franco
Drager, David
Dragoni, Aldo
, Drahom&#237
Dras, Mark
Draxler, Christoph
Dredze, Mark
Dreizin, Felix
Drellishak, Scott
Dresher, Elan B.
Dreuw, Philippe
Dreyer, Markus
Driesen, Joris
Driscoll, Alan S.
Drissi, Youssef
Drossaers, Marc F. J.
Drozd, Janus
Drozdzynski, Witold
Druck, Gregory
Drummey, Kevin W.
D�silets, Alain
Duan, Jianyong
Duan, Xiangyu
Duarte, Julio C.
Duarte, Sergio
Dubey, Amit
Duboue, Pablo Ariel
Dubuc, Julien
Duchateau, Jacques
Duchier, Denys
Duch, Wlodzislaw
Ducott, Richard
Dudda, Friedrich
Dudik, Miroslav
Duff, David
Duffy, Nigel
Duffy, Patrick
Dugas, Andre
Dugast, Lo
Dugast, Lo&#239
Dugast, Lo�c
Duh, Kevin
Du, Jinhua
Dukers, Alex
Dumitrescu, Cristian
Dumoulin, Benoit
Dungca, Gary
Dunlavy, Daniel M.
Dunne, Cody
Dunne, Simon
Dunning, Ted E.
Dunnion, John
Dupoux, Emmanuel
Dupuy, Sylvain
Durbin, Richard
Durham, Stanton P.
Durieux, Gert
Durme, Benjamin Van
duVerle, David
Duvert, Fr�d�ric
Du, Yongping
Dwiggins, Don
Dwyer, Kenneth
Dybkjaer, Hans
Dyer, Charles R.
Dyer, Chris
Dyer, Christopher J.
Dyer, Michael G.
Dyer, R. R.
Dyery, Chris
Dymetman, Marc
Dyvik, Helge
Dzhubanov, Askar
Eades, Domenyk
Eagle, Nathan
Eales, James
Eastmond, John F. G.
Eberle, Kurt
Ebert, Christian
Echihabi, Abdessamad
Echizen-Ya, Hiroshi
Eckart, Richard
Eck, Matthias
Eddy, Bruce
Edelman, Shimon
Edmonds, Philip G.
Edmundson, H. P.
Edwards, Douglas
Edwards, Jaety
Edwards, Peter
Edwards, William R.
Eeg-Olofsson, Mats
Egges, Arjan
Egg, Markus
Eguchi, Koji
Ehara, Terumasa
Ehara, Yo
Ehlen, Patrick
Ehmer, Oliver
Ehsani, Farzad
Eidelman, Vladimir
Eigner, Thomas
Eineborg, Martin
Eisele, Andreas
Eisenstadt, Marc
Eisenstein, Jacob
Eishold, Florian
Eisner, Jason M.
Ekbal, Asif
ek, David
ek, Filip
ek, Jan
Eklund, Johan
Eklund, Robert
ek, Radek
El-B�ze, Marc
Eldawy, Mohamed
El Demerdash, Osama
Elder, John
Elenius, Kjell
Elgersma, Erik
El Ghali, Adil
Elhadad, Michael
Elia, Annibale
El Isbihani, Anas
ElKateb, Sabry
Elkiss, Aaron
Elko, G. W.
El Kourdi, Mohamed
Ellard, Dan
Elliott, John
Ellis, Dan
Ellis, David
Ellis, Ged
Ellison, Noel
Ellison, T. Mark
Ellman, Jeremy
Ellsworth, Michael
Elmacioglu, Ergin
Elmi, Mohammad Ali
Elming, Jakob
Elnaggar, Ayman
Elsayed, Tamer
El-Shishiny, Hisham
Elsner, Micha
Elson, David
Elson, David K.
Elworthy, David
Ely, John
Emami, Ahmad
Emam, Ossama
Embarek, Mehdi
Emele, Martin C.
Emerson, Thomas
Emery, Gary
Emms, Martin
Emonts, Michael
Emorine, Olivier M.
Endo, Tsutomu
Engebretson, A. Maynard
Engelberg, Klaus-Jurgen
Engelbrecht, Klaus-Peter
Engel, Donald
Engelien, Gerhard
Engelman, Carl
Engel, Ralf
Engelson, Sean P.
English, Michael
Enomoto, Hajime
Enomoto, Kousuke
, Enrique
Ensais, B. Migault
Epstein, Mark
Epstein, Martin N.
Epstein, Samuel S.
Erbach, Gregor
Erdenebat, Dashtseren
Eredita, Michael A.
Erell, Adoram
Eriguchi, Yoshio
Eriksson, Gunnar
Erjavec, Tomaá
Erjavec, Tomaš
Erjavec, Tomaz
Erkan, Gunes
Esch, Dietmar
Escudero, Gerard
Eshghi, Arash
Eskin, Eleazar
Espeja, Sergio
Espinosa, Dominic
Esposito, Joseph
Esquerra, Ignasi
Estabrooks, Andrew
Esteban, Jose
Est�ve, Yannick
Etchegoyhen, Thierry
Ettelaie, Emil
Etzioni, Oren
Etzioni, Zohar
Eubank, Stephen
Evang, Kilian
Evans, Bruce
Evans, Chris
Evans, David A.
Evans, David Kirk
Evans, Richard
Evans, Roger
Even-Zohar, Yair
Evers, Mark
Evert, Stefan
Eyassu, Samuel
Eyraud, Remi
ez, Ricardo
Fabbri, Marco
Fabens, William
Fabricz, Karoly
Fabri, Ray
Faconti, Giorgio P.
Fader, Anthony
Faessler, Erik
Fafiotte, Georges
Fahlman, Scott E.
Fahmi, Ismail
Faikenhainer, Brian
Fairfield, John
Fairon, Cedrick
Faisal, Kanaan A.
Fakotakis, Nikos D.
Fall, J. M.
Fan, Adrian T.
Fanchon, Eric
Fang, Alex Chengyu
Fang, Haw-Ren
Fang, Xiaoshan
Fan, Jung-Wei
Fantino, Fabio
Fanton, Michel
Fantry, George
Fanty, Mark
Fan, Weiguo
Fan, Xiaozhong
Fan, Xinghua
Farahat, Ayman
Farber, Benjamin
Farghaly, Ali
Fargues, Jean
Farkas, Rich&#225
Farkas, Rich�rd
Farley, Benoit
Farrar, David S.
Farrar, Scott
Farrell, Robert
Farreres, Xavier
Farr�, Jacques
Faruque, Ehsanul
Faruquie, Tanveer A.
Farwell, David
Fasciano, Massimo
Fass, Dan
Favero, Eloi L.
Favre, Benoit
Fawcett, Robin P.
Fayruzov, Timur
Fedder, Lee
Feddes, Hendrik
Federici, Stefano
Federico, Marcello
Federmann, Christian
Feeney, Kevin
Feinauer, Richard A.
Feiner, Steven K.
Feinstein, Daniel
Feith, Tobias
Feldman, Jerome A.
Feldman, Ronen
Feldman, Sergey
Feldweg, Helmut
Felfoldi, Laszlo
Felger, Niko
Fellinger, Carel
Feneyrol, Christian
Feng, Yansong
Feng, Zhe
Fenstad, Jens Erik
Ferencz, Attila
Ferguson, George
Ferguson, Mark
Ferguson, William
Fernandez-Amoros, David
Fernando, Tim
Fern�ndez, Rub�n
Ferrandez, Antonio
Ferrandez, Oscar
Ferrara, Franco
Ferrari, Giacomo
Ferreira, Eduardo
Ferreras, Francisco L.
Ferreres, Javi
Ferrer i Cancho, Ramon
Ferres, Daniel
Ferret, Olivier
Ferretti, Marco
Ferrucci, David
Fertig, Scott
Fichtner, Gerrit
Fiedler, Armin
Fierrez, Julian
Figueira, Lu�s
Fikes, Richard E.
Filali, Karim
Filgueiras, Miguel
Filimonov, Denis
Filisko, Edward
Fillmore, Charles J.
Fillmore, Nathanael
Finch, Andrew
Finch, Steven
Findler, Nicholas V.
Finin, Timothy W.
Finkel, Raphael
Finkler, Wolfgang
Finn, Gerard D.
Finthammer, Marc
Fischer, Dietrich H.
Fischer, Gerhard
Fischer, Markus
Fiscus, Jonathan G.
Fishel, Mark
Fisher, Anthony J.
Fisher, David
Fisher, Seeger
Fisher, W.
Fisher, William M.
Fish, Randall
Fissaha Adafre, Sisay
Fissaha, Sisay
Fister, Andrew
Fiszman, Marcelo
Fitzsimons, Brian
F�k, M�rk
Flanagan, J. L.
Flank, Steven
Fleisch, Axel
Fleischman, Michael
Flejter, Dominik
Fletcher, Ian
Fletcher, William H.
Flickinger, Dan
Flickinger, Daniel P.
Flores, Glenn
Florian, Radu
Flournoy, Raymond
Fluhr, Christian
Flynn, Mike
Foltz, Peter W.
Fong, Sandiway
Fonollosa, Jos� A. R.
Fontan, Lionel
Foo, Shou King
Forcada, Mikel L.
Fordham, Andrew
Ford, W. Randolph
Fordyce, Cameron
Forlines, Clifton
Fornell, Jan
Forster, Peter
Forster, T. E.
Forst, Martin
Forsyth, David A.
Fortmann, Christian
Fortu, Ovidiu
Fosler-Lussier, Eric
Fossati, Davide
Foster, George
Foth, Kilian A.
Fotiadis, Konstantinos A.
Fouet, Jean-Baptiste
Fought, Bill
Fouquere, Christophe
Fouvry, Frederik
Fowler, Abraham
Fowler, Timothy A. D.
Fox, Chris
Fox, Edward A.
Fraga, P. Daun
Frampton, Matthew
Francez, Nissim
Francis, W. Nelson
Franco, Horacio
Franco, Jose
Francom, Jerid
Francopoulo, Gil
Frandsen, Michael
Frank, Eibe
Frank, Geoffrey
Frank, Ian
Frank, Michael C.
Frank, Robert
Franz, Alexander M.
Franzen, Kristofer
Franz, Martin
Frasconi, Paolo
Fraser, Alexander
Fraser, Norman M.
Fraser, Simon
Frederickson, Dick H.
Frederking, Robert
Frederking, Robert E.
Freeman, Andrew
Freeman, Robert John
Freiling, Michael J.
Freitag, Dayne
Freitas, Tiago
Frelling, Michael J.
Fresno, Victor
Fretheim, Thorstein
Freudenthal, Daniel
Frey, David
Frey, Werner
Friedman, Moshe
Frisch, Alan M.
Fritzson, Richard
Frixou Drakos, Nicos
Frost, Richard
Froumentin, Max
F�rstenau, Hagen
Fry, John
Fuchi, Takeshi
Fuentes, Olac
Fugen, Christian
Fu, Guohong
Fujii, Atsushi
Fujiki, Toshiaki
Fuji, Masaru
Fujimoto, Masakiyo
Fujimura, Osamu
Fujinami, Tsutomu
Fujino, Akinori
Fujioka, Eitaro
Fujio, Masakazu
Fujisaki, Tetsunosuke
Fujita, Atsushi
Fujita, Kimikazu
Fujita, Minoru
Fujita, Sumio
Fujita, Yoneharu
Fujiyoshi, Akio
Fukamachi, Keiichiro
Fukubayashi, Yuichiro
Fukuda, Yasushi
Fukumochi, Yasutomo
Fukumoch, Yoji
Fukumoto, Jun'ichi
Fukuoka, Kenta
Fukushima, Hiromichi
Fukushima, Ken'ichi
Fukushi, Masuru
Fukushima, Toshikazu
Fukusima, Takahiro
Fulgosi, Sanja
Fulkerson, Michael S.
Fulop, Sean
Fulop, Sean A.
Fum, Danilo
Funakoshi, Kotaro
Funayama, Hirotaka
Fung, Kin Wah
Fung, Simon
Furgori, Teiji
Furihata, Kentaro
Furlan, Aidan
Furugori, Teiji
Furui, Sadaoki
Furuse, Osamu
Furuya, Akihiro
Fussell, Jesse W.
Futrelle, Robert P.
gaard, Anders
Gabani, Keyur
Gabay, David
Gabbard, Ryan
Gabbay, Igal
Gabor, Kata
Gabrilovich, Evgeniy
Gagnon, Michel
Gagnoulet, Christian
Gaiffe, Bertrand
Gailly, Pierre-Joseph
Gaizasukas, Robert
Gaizauskas, Robert
Gaizauskas, Robert J.
Galanis, Dimitrios
Galescu, Lucian
Gale, William A.
Galibert, Olivier
Gali, Karthik
Galil, Zvi
Gallant, Stephen L.
Galley, Michel
Gallinari, Patrick
Gallippi, Anthony F.
Gallo, Carlos G�mez
Galron, Daniel
Gal, Ya'akov
Gamallo, Pablo
Gamback, Bjorn
Gambell, Timothy
Gamez, Jose A.
Gammon, Edward
Gamon, Michael
Gamper, Johann
Ganapathibhotla, Murthy
Ganchev, Kuzman
Ganchev, Todor
Gandcher, Franck
Gandhe, Sudeep
Ganev, Hristo
Gangemi, Aldo
Ganguly, Niloy
Gan, Kok Wee
Ganslandt, Sebastian
Gantner, Zeno
Gao, Bin
Gao, Jianfeng
Gao, Jiang
Gao, Qin
Gao, Quin
Gao, Weijun
Gao, Wenjun
Gaoying, Cui
Gao, Zhao-Ming
Garay-Vitoria, Nestor
Garber, Alan
Garbin, Eric
Garbuio, Lorenzo
Garcia-Cumbreras, Miguel
Garcia Cumbreras, Miguel Angel
Garcia, Ernest V.
Garcia, Fernando
Garcia, M. Angel
Garcia, Oscar N.
Garcia Varea, Ismael
Garcia-Varea, Ismael
Garcia-Vega, Manuel
Gardner, John
Garera, Nikesh
Garg, Ashish
Gargett, Andrew
Garg, Navendu
Gargouri, Bilel
Gargouri, Yassine
Garibay, Ivan I.
Garigliano, Roberto
Garneau, Jean-Francois
Garofolo, J.
Garofolo, John S.
Garretson, Gregory
Garrett, Benjamin
Garrette, Dan
Garrido, Javier
Garrido, Juan Maria
Garside, Roger
Garthwaite, Paul H.
Garvin, Paul L.
Gasch, Joachim
Gaschler, Jean
Gasser, Michael
Gaston, Jeremy
Gatt, Albert
Gaudan, Sylvain
Gaudinat, Arnaud
Gaume, Bruno
Gaussier, Eric
Gauvain, Jean-Luc
Gavalda, Marsal
Gawron, Jean Mark
Gaylord, Nicholas
Gazdar, Gerald
Gazendam, Luit
G�dde, Florian
Gebruers, Rudi
Gedigian, Matt
Geeraerts, Dirk
Geertzen, Jeroen
Gehrke, Manfred
Gehrt, Richard F.
Geissler, Stefan
Gelbart, David
Gelbukh, Alexander F.
Geleijnse, Gijs
Gelfond, Michael
Geman, Stuart
Gemello, Roberto
Gemmis, Marco de
Genabith, Josef van
Genabith, van Josef
gen, Christian
Genereux, Michel
Genet, Franck
Genthial, Damien
Genzel, Dmitriy
Genzmann, Heinz
Geoffrois, Edouard
George, Bryan
George, Monte
Georgiev, Georgi
Georgiou, Panayiotis G.
Gerber, Matthew
Gerbino, Walter
Gerbrandy, Jelle
Gerdemann, Dale
Gergle, Darren
Gerlach, Michael
Germann, Ulrich
Gerrish, Joshua
Gershon, Nahum
Gerstenberger, Ciprian
Gerstl, Peter
Gervas, Pablo
Gey, Fredric C.
Geyken, Alexander
Ghahramani, Zoubin
Ghani, Abdul Azim Abdul
Ghassem-Sani, Gholamreza
Ghayoomi, Masood
Ghorbel, Hatem
Ghose, Anindya
Ghosh, Avishek
Giachin, Egidio
Giampiccolo, Danilo
Giangrandi, Paolo
Gibb, Darl
Gibbon, Dafydd
Gibbon, David
Gibson, Bryan
Gibson, Edward
Gibson, John
Giguet, Emmanuel
Gil, Alexandre
Gilardoni, Luca
Gilbert, Juan
Gilbert, Nathan
Gilbert, Nigel
Gildea, Daniel
Gilder, Ari
Giles, C Lee
Giles, C. Lee
Gilg, Thomas
Gill, Alastair
Gillam, Lee
Gillett, John R.
Gillick, Dan
Gillick, Laurence S.
Gillis, Steven
Gill, Mandeep Singh
Gillon, Brendan S.
Gillott, Timothy J.
Gilloux, Michel
Gimenez, Jesus
Giménez, Jesús
Gim�nez, Jes�s
Gimpel, Kevin
Ginsparg, Jerrold M.
Ginter, Filip
Ginzburg, Jonathan
Ginzton, Matt
Giordano, William
Giovannetti, Emiliano
Girardi, Christian
Gish, Herbert
Gispert, Adri�
Gispert, Adri&#224
Gispert, Adria�De
Gispert, Adri� de
Giuliani, Fabio
Giuliani, Manuel
Giuliano, Claudio
Giunchiglia, Fausto
Glachin, Egidio P.
Glaros, Nikos
Glasbey, S.R.
Glass, James R.
Glass, Michael
Glaysher, Elliot
Gl�ckner, Ingo
Gledhill, Christopher
Gleim, R�diger
Gleim, Rudiger
Glennon, Dominic
Glickman, Oren
Gliozzo, Alfio Massimiliano
Globerson, Amir
Glover, W. W.
G�mez-Rodr�guez, Carlos
Gnjatovic, Milan
Gobbo, Federico
Gobeil, Fernand
Gobeill, Julien
Gobet, Fernand
Godavarthy, Srinivasa Rao
Godbole, Shantanu
Goddeau, David
Godden, Kurt
Godfrey, John J.
Godinho, Joaquim
Goebel, Randy
Goebl, Hans
Goecke, Karl Ulrich
Goertzel, Ben
Goerz, G.
Goerz, Guenther
Goeser, Sebastian
Goetz, Philip
Goh, Hai-Kiat
Gojenola, Koldo
Gojobori, Takashi
Golan, Igal
Goldberg, Andrew
Goldberg, Andrew B.
Goldberg, Eli
Goldberger, Jacob
Goldberg, Jeff
Goldberg, Yoav
Goldfain, Albert
Golding, Andrew
Goldlust, Eric
Goldman, Neil M.
Goldman, Robert
Goldman, Seth R.
Goldsmith, John
Goldwasser, Dan
Gomez, Fernando
Gomez Hidalgo, Jose M.
Gomez-Hidalgo, Jose Maria
Gomez-Rodriguez, Carlos
Goncalves, M. R.
Gonzales, Julio
Gonzalez-Calero, P.
Gonzalez, Hector
Gonzalez, Jorge
Gonzalez-Rodriguez, Joaquin
Gonzalo, Julio
Gonzalvo, Vicent Alabau
Goodine, D.
Goodine, David
Good, Jeff
Goodman, Bradley A.
Goodman, Fred
Goodman, Joshua
Goodman, Michael
Goodrum, Richard
Goonetilleke, Sandeva
Gopalakrishnan, P. S.
, Goran
Gordon, Andrew S.
Gordon, Peter C.
Gordon, Steven A.
Gorelov, Zakhar
Gorin, Allen L.
Gorjanc, Vojko
Gorlinsky, James
Gorman, James
Gorniak, Peter
Gorz, Gunther
Goss-Grubbs, David
Goto, Hiroki
Gotoh, Yoshihiko
Goto, Isao
Gotti, Fabrizio
Gottwald, Sebastian
Gotze, Michael
Gotz, Thilo
Goulart, Rodrigo
Gouraros, Nickolas
Goutte, Cyril
Govindappa, Sunil
Govindaraju, Venu
Goweder, Abduelbaset
Goyal, Amit
Goyal, Ishaan
Gozali, Jesse Prabawa
Gra�a, Jo�o V.
Grabowski, Joachim
Graca, Joao
Graehl, Jonathan
Graesser, Arthur C.
Graff, David
Graft, David
Graf, Winfried
Graham, C. Ray
Gralinski, Filip
Granacki, John J.
Grandchamp, Jean-Michel
Grandemange, Philippe
Grandjean, Ernest
Granell, Ramon
Granell Zafra, Joaquin
Granfeldt, Jonas
Granger, Richard H.
Grannes, Dean
Granville, Robert Alan
Gratta, Riccardo Del
Grau, Bernat
Grau Puerto, Sergio
Gravano, Agust�n
Gravier, Guillaume
Gray, John
Greenbacker, Charles
Greene, Stephan
Greenfield, Peter
Green, Ryan
Green, Stephen J.
Greental, Iddo
Greenwood, Mark A.
Grefenstette, Gregory
Gregorowicz, Andy
Gregory, Howard
Greiff, John
Greiff, Warren R.
Greiner, Russell
Greiner, Wiley
Grenager, Trond
Grenander, Ulf
Grewal, Amardeep
Grieser, Karl
Griffith, John
Griffiths, Thomas L.
Grigoriev, Nikolai
Grigorov, Alexander
Grigorov, Ilko
Grimes, Joseph E.
Grimes, Stephen
Grimley-Evans, Edmund
Grimm, Scott
Griol, David
Grishman, Ralph
Grisoli, Fabrizio
Grocholewski, Stefan
Groenendijk, Marius
Groenewald, Hendrik Johannes
Groenink, Annius V.
Groenqvist, Leif
Grois, Eugene
Gronqvist, Leif
Grosjean, Francois
Grossi, Thomas
Gross, Maurice
Grouin, Cyril
Groves, Declan
Grozea, Cristian
Gruenstein, Alexander
G�tze, Michael
Gu, Baohua
Gubrynowicz, Ryszard
Guedj, R. D.
Guenter, Simon
Guenthner, Franz
Gu, Erdan
Guerini, Marco
